Name,Version,Summary / License
pytables,3.4.2,"Brings together Python, HDF5 and NumPy to easily handle large amounts of data. / BSD 3-Clause"
pytest,3.3.2,Simple and powerful testing with Python. / MIT
pytest-asyncio,0.6.0,Pytest support for asyncio / Apache 2.0
pytest-cache,1,pytest plugin with mechanisms for caching across test runs / MIT
pytest-cov,2.5.1,Pytest plugin for measuring coverage / MIT
pytest-mock,1.6.3,Thin-wrapper around the mock package for easier use with py.test / MIT
pytest-pep8,1.0.6,pytest plugin to check PEP8 requirements / MIT
pytest-runner,2.11.1,Invoke py.test as distutils command with dependency resolution. / MIT
pytest-timeout,1.2.1,This is a plugin which will terminate tests after a certain timeout. / MIT
pytest-xdist,1.17.1,py.test xdist plugin for distributed testing and loop-on-failing modes / MIT
python,3.6.4,General purpose programming language / PSF
python-blosc,1.5.1,A Python wrapper for the extremely fast Blosc compression library / Apache 2.0
python-daemon,2.1.2,Library to implement a well-behaved Unix daemon process / Apache Software License
python-dateutil,2.6.1,Extensions to the standard Python datetime module. / BSD 3-clause
python-gdbm,1.1,GNU's reinterpretation of dbm / PSF
python-graphviz,0.8.2,Simple Python interface for Graphviz / MIT
python-leveldb,0.194,Python bindings for leveldb database library / BSD 3-Clause
python-memcached,1.57,pure python memcached client / PSF
python-ntlm,1.1.0,Provides NTLM support / LGPL
python-rapidjson,0.0.11,Python wrapper around rapidjson / MIT
python-snappy,0.5.1,Python library for the snappy compression library from Google / BSD
python-sybase,0.4,Python interface to the Sybase relational database system / BSD License
python-utils,2.2.0,module with some convenient utilities / BSD
python.app,2,Proxy on OS X letting Python libraries hook into the gui event loop / BSD
pytz,2017.3,"World timezone definitions, modern and historical. / MIT"
pywavelets,0.5.2,Discrete Wavelet Transforms in Python. / MIT
pywget,2.2,Pure Python download utility / Public-Domain
pyyaml,3.12,YAML parser and emitter for Python / MIT
pyzmq,16.0.3,Python bindings for zeromq / BSD 3-clause
qgrid,0.3.3,Pandas DataFrame viewer for IPython Notebook / Apache 2.0
qt,5.6.2,Qt is a cross-platform application and UI framework. / LGPL-3.0
qtawesome,0.4.4,Iconic fonts in PyQt and PySide applications / MIT
qtconsole,4.3.1,Jupyter Qt console / BSD 3-Clause
qtpy,1.3.1,Abtraction layer for PyQt5/PyQt4/PySide / MIT
quandl,3.2.0,High quality financial and economic data / MIT
queuelib,1.4.2,Collection of persistent (disk-based) queues / BSD
readline,7,library for editing command lines as they are typed in / GPL3
redis,4.0.2,Advanced key-value cache and store / 3-clause BSD
redis-py,2.10.6,Python client for Redis key-value store / MIT
regex,2017.11.09,"Alternative regular expression module, to replace re. / Python-2.0"
reportlab,3.4.0,The ReportLab Toolkit / BSD
repoze.lru,0.7,A tiny LRU cache implementation and decorator / BSD
requests,2.18.4,Python HTTP for Humans. / Apache 2.0
requests-file,1.4.1,file transport adapter for Requests / Apache
requests-ftp,0.3.1,FTP Transport Adapter for Requests / Apache Software License
requests-kerberos,0.11.0,Kerberos authentication handler for python-requests / Other
responses,0.8.1,utility library for mocking out the 'requests' Python library / Apache 2.0
